id,produto,quantidade,preco,data
1,Detergente,3,5.99,01/09/2024
2,Desinfetante,2,7.50,02/09/2024
3,Água Sanitária,1,3.99,03/09/2024
4,Esponja,5,2.00,04/09/2024
5,Sabão em Barra,4,6.25,05/09/2024
6,Limpa Vidros,2,8.50,06/09/2024
7,Álcool 70%,3,12.99,15/09/2024
8,Lustra Móveis,1,14.99,24/09/2024
9,Pano de Chão,6,3.50,15/09/2024
10,Vassoura,2,10.99,19/09/2024
11,Rodo,1,8.99,09/09/2024
12,Balde,2,15.99,14/09/2024
13,Desodorizador,4,7.80,16/09/2024
14,Lavanda,3,6.99,25/09/2024
15,Saponáceo,1,9.99,11/09/2024
16,Detergente,3,5.99,13/09/2024
17,Esponja de Aço,4,2.50,14/09/2024
18,Escova,1,7.30,10/09/2024
19,Sabão em Pó,2,12.40,29/09/2024
20,Água Sanitária,3,3.99,20/09/2024
21,Pano de Chão,2,3.50,18/09/2024
22,Vassoura,1,10.99,24/09/2024
23,Rodo,1,8.99,28/09/2024
24,Detergente,2,5.99,06/09/2024
25,Álcool Gel,3,15.99,22/09/2024
26,Lustra Móveis,2,14.99,21/09/2024
27,Esponja,5,2.00,30/09/2024
28,Desinfetante,2,7.50,27/09/2024
29,Água Sanitária,4,3.99,15/09/2024
30,Sabão Líquido,2,11.99,24/09/2024
